Date,AAPL,AMZN,FB,BRK.B,BAC,DIS,CVX,AIZ,DISH,DVA,COG,ALB,FBHS,BWA,ADS,AOS,DISCA,CPRI,AMG,COTY
2017-01-27,,,,164.39999389648438,22.346031188964844,105.29497528076172,103.31105041503906,,,,,,,,,,28.059999465942386,41.52999877929688,141.14137268066406,17.83964729309082
2017-01-30,,,,164.8000030517578,21.953826904296875,106.87488555908205,101.5224609375,,,,,,,,,,27.979999542236328,41.790000915527344,147.85403442382812,17.244993209838867
2017-01-31,,,,164.13999938964844,21.65727996826172,106.59552001953124,101.09575653076172,,,,,,,,,,28.35000038146973,42.810001373291016,148.87020874023438,17.565191268920902
2017-02-01,,,,163.61000061035156,21.89642906188965,107.2217025756836,100.77798461914062,,,,,,,,,,28.040000915527344,41.34000015258789,152.9935302734375,17.32733154296875
2017-02-02,,,,163.0,21.733806610107425,106.5569839477539,101.87654876708984,,,,,,,,,,27.790000915527344,40.88999938964844,151.41064453125,17.684123992919922
2017-02-03,,,,163.94000244140625,22.279067993164066,106.2583465576172,103.11132049560548,,,,,,,,,,28.09000015258789,41.02000045776367,154.508056640625,17.74816131591797
2017-02-06,,,,163.4199981689453,22.11644744873047,105.55509948730469,102.5756607055664,,,,,,,,,,27.96999931335449,41.27999877929688,154.0390167236328,17.63838005065918
2017-02-07,,,,162.92999267578125,21.90599250793457,105.0059814453125,101.13207244873048,,,,,,,,,,27.989999771118164,36.81999969482422,157.0620880126953,17.85795021057129
2017-02-08,,,,162.8699951171875,21.68598175048828,105.0059814453125,101.30458068847656,,,,,,,,,,27.53000068664551,37.86999893188477,157.99151611328125,18.333669662475586
2017-02-09,,,,164.0399932861328,22.11644744873047,105.47801971435548,101.92196655273438,,,,,,,,,,27.959999084472656,38.27000045776367,160.3101806640625,16.76011848449707
2017-02-10,,,,164.00999450683594,22.07818031311035,105.25646209716795,102.63919830322266,,,,,,,,,,28.479999542236328,38.38000106811523,163.9887237548828,16.723527908325195
2017-02-13,,,,165.85000610351562,22.38429450988769,105.63216400146484,103.42001342773438,,,,,,,,,,29.03000068664551,37.599998474121094,163.6952362060547,16.805864334106445
2017-02-14,,,,166.9499969482422,23.01564216613769,106.28724670410156,103.1358642578125,,,,,,,,,,28.53000068664551,38.099998474121094,164.04745483398438,17.629230499267578
2017-02-15,,,,167.27999877929688,23.513072967529297,106.14273834228516,103.18167877197266,,,,,,,,,,28.489999771118164,38.04999923706055,166.6400146484375,18.08666038513184
2017-02-16,,,,167.74000549316406,23.513072967529297,106.6533203125,101.4493179321289,,,,,,,,,,28.56999969482422,38.209999084472656,164.2626190185547,17.098613739013672
2017-02-17,,,,168.57000732421875,23.45567512512207,106.02713012695312,101.12850952148438,,,,,,,,,,28.68000030517578,38.29999923706055,164.77139282226562,17.281587600708008
2017-02-21,,,,168.9199981689453,23.70439147949219,105.9789810180664,102.402587890625,,,,,,,,,,29.6200008392334,38.310001373291016,167.2074737548828,17.528596878051758
2017-02-22,,,,169.61000061035156,23.713956832885746,106.0849380493164,101.17433166503906,,,,,,,,,,29.51000022888184,37.91999816894531,165.7496795654297,17.235847473144528
2017-02-23,,,,170.14999389648438,23.513072967529297,105.709228515625,101.76095581054688,,,,,,,,,,29.5,37.27999877929688,165.59320068359375,17.21755027770996
2017-02-24,,,,170.22000122070312,23.17826271057129,106.2776107788086,100.93601989746094,,,,,,,,,,29.270000457763672,37.29999923706055,164.38983154296875,17.185310363769528
2017-02-27,,,,170.6300048828125,23.50350570678711,106.19091033935548,102.4300765991211,,,,,,,,,,29.04999923706055,37.599998474121094,165.29969787597656,17.26820182800293
2017-02-28,,,,171.4199981689453,23.608732223510746,106.0560302734375,103.11752319335938,,,,,,,,,,28.76000022888184,36.5,164.29197692871094,17.295831680297848
